Date,Company,Index,Industry,Predicted_Returns,Excess_Returns,T
2014-04-24,-0.002181501,0.00174206,-0.002272789,0.00251197306179359,-0.00469347406179359,-0.290434030507
2014-04-25,-0.00437254,-0.008096402,-0.011688136,-0.0061236375948535,0.0017510975948535,0.108358611465313
2014-04-28,-0.014492754,0.0032983,-0.015969707,0.0116341376367173,-0.0261268916367173,-1.61674238373689
2014-04-29,0.017825312,0.004779438,0.013691372,-0.00149091916165387,0.0193162311616539,1.1952960209479
2014-04-30,-0.004378284,0.003038792,-0.001182846,0.00372729893868172,-0.00810558293868172,-0.501576676784804
2014-05-01,-0.008795075,-7.73424e-05,-0.003304875,0.000552861307438072,-0.00934793630743807,-0.578453994407386
2014-05-02,-0.001774623,-0.001351096,0.001050014,-0.00341194899636596,0.00163732599636596,0.101318379971345
2014-05-05,0.010222222,0.001949283,-0.01035111,0.00692105470440579,0.00330116729559421,0.204277537366624
2014-05-06,-0.008798944,-0.008965598,-0.015089393,-0.00557425302806114,-0.00322469097193886,-0.199545152223945
2014-05-07,-0.021748779,0.006041716,0.008070911,0.0031045857843331,-0.0248533647843331,-1.53793603862299
2014-05-08,0.009981851,-0.001120841,0.004101469,-0.00465579766892726,0.0146376486689273,0.905783486622138
2014-05-09,-0.012663953,0.001699676,-0.006071119,0.00439400769996035,-0.0170579606999604,-1.05555335197192
2014-05-12,-0.000458085,0.009711401,0.012638631,0.00578634942969148,-0.00624443442969148,-0.386408071244122
2014-05-13,-0.006874427,0.000666761,0.000305768,-0.000274405437061798,-0.0066000215629382,-0.408411943630669
2014-05-14,-0.00553761,-0.004507336,-0.008364364,-0.0029167088943422,-0.0026209011056578,-0.162182396590375
2014-05-15,-0.014849188,-0.009174124,-0.011069077,-0.00791253630614473,-0.00693665169385527,-0.429242749218413
2014-05-16,-0.007065473,0.003750752,-0.000708416,0.00445789217997956,-0.0115233651799796,-0.713070393095243
2014-05-19,0.006166983,0.003921408,0.00927265,-0.000406617672881796,0.0065736006728818,0.40677700850849
2014-05-20,0.001885903,-0.00646585,-0.006827377,-0.00637804271138112,0.00826394571138112,0.511376227768106
2014-05-21,0.017411765,0.008257237,0.008430224,0.00594860989669976,0.0114631551033002,0.709344569746296
2014-05-22,-0.005550416,0.002502601,0.006648526,-0.00100519553812424,-0.00454522046187576,-0.28126003913208
2014-05-23,-0.013023256,0.004262353,0.001755657,0.00389850511203533,-0.0169217611120353,-1.04712526762466
2014-05-27,-0.000471254,0.005995784,0.013158261,0.000443514155251679,-0.000914768155251679,-0.0566062151002214
2014-05-28,-0.02310231,-0.000958882,-0.000576606,-0.00204520604743447,-0.0210571039525655,-1.30302191750292
2014-05-29,-0.046332046,0.005493683,0.000274733,0.00633749874875628,-0.0526695447487563,-3.25921225193783
2014-05-30,-0.005566802,0.001851256,0.003680409,-0.000379335893770446,-0.00518746610622955,-0.321002453516267
2014-06-02,0.000508906,0.000818323,0.002982787,-0.00143455030679622,0.00194345630679622,0.120261844609273
2014-06-03,0.022380468,-0.000325569,0.002237259,-0.00261692424297067,0.0249973922429707,1.54684851470469
2014-06-04,0.008457711,0.002070361,-0.000762237,0.00218910387251639,0.00626860712748361,0.387903887340166
2014-06-05,0.00197336,0.006592035,0.013322073,0.00117463403826131,0.000798725961738693,0.0494254782884001
2014-06-06,0.010339734,0.004773915,0.007393467,0.00171811543134368,0.00862161856865632,0.533509165582125
2014-06-09,0.004873294,0.000987821,0.011956232,-0.00578601185706536,0.0106593058570654,0.659602060587783
2014-06-10,0.02085354,-0.000239493,0.002162561,-0.00246114910255865,0.0233146891025587,1.44272217911993
2014-06-11,-0.085510689,-0.003425624,-0.011184211,1.66912031215882e-06,-0.0855123581203122,-5.29153852776367
2014-06-12,-0.013506494,-0.006805756,-0.007904192,-0.00629255804580842,-0.00721393595419158,-0.446401208872252
2014-06-13,-0.012111638,0.003150847,-0.000965717,0.00376952747827626,-0.0158811654782763,-0.982732798408559
2014-06-16,0.008528785,0.000842701,-0.007786907,0.00409925870680329,0.00442952629319671,0.274100838234573
2014-06-17,-0.003171247,0.002192597,0.010987227,-0.00364476130096334,0.000473514300963336,0.0293012521473128
2014-06-18,0.014316013,0.007729089,0.005407142,0.00677089262344361,0.00754512037655639,0.466895031861824
2014-06-19,0.012023001,0.001418287,-0.004818956,0.00336995815907913,0.00865304284092087,0.53545371197343
2014-06-20,0.00981405,0.001735483,0.00492255,-0.00117195033723792,0.0109860003372379,0.679818044179401
2014-06-23,-0.009207161,-0.000131061,0.008252802,-0.005423495195214,-0.003783665804786,-0.234134735871017
2014-06-24,-0.014455343,-0.006347995,-0.009901513,-0.00464691301430617,-0.00980842998569383,-0.606949525273855
2014-06-25,0.011000524,0.004922195,0.001066724,0.00515205255289125,0.00584847144710875,0.361905725338086
2014-06-26,0.007253886,-0.001007336,-0.005354574,0.000328872587374371,0.00692501341262563,0.428522567774733
2014-06-27,0.008230453,0.001963409,0.002892573,0.000176300768043447,0.00805415223195655,0.49839412431954
2014-06-30,-0.008163265,-0.000327297,-0.001228468,-0.000849205757479561,-0.00731405924252044,-0.452596877537747
2014-07-01,0.016460905,0.006858883,0.00486644,0.00585790176278454,0.0106030032372155,0.656118032212251
2014-07-02,-0.003036437,0.000716893,0.001756207,-0.000946694265580913,-0.00208974273441909,-0.12931410658486
2014-07-03,0.001522843,0.005482369,0.006667198,0.00305716074829746,-0.00153431774829746,-0.0949441888565941
2014-07-07,-0.013177902,-0.003886091,-0.007309093,-0.00260673670877537,-0.0105711652912246,-0.654147887527219
